Id,Altitude,Slope_Orientation,Slope,Horizontal_Distance_To_Water,Vertical_Distance_To_Water,Horizontal_Distance_To_Roadways,Shadow_Index_9h,Shadow_Index_12h,Shadow_Index_15h,Horizontal_Distance_To_Fire_Points,Canopy_Density,Rainfall_Summer,Rainfall_Winter,Wind_Exposure_Level,Soil_Type,Wilderness_Area,Vegetation_Type
7479,2692,148,9,108,14,2040,232,240,139,1703,82.29,367.75,116.12,38.14,Type_4,Area_3,Type_3
12830,2365,30,22,301,121,1448,207,186,106,591,36.64,158.34,648.88,53.18,Type_10,Area_4,Type_3
4358,2344,42,7,134,35,1277,222,224,137,234,67.54,163.46,1152.97,11.05,Type_6,Area_4,Type_3
11973,2088,64,23,124,23,162,234,186,72,569,53.23,409.37,863.13,48.14,Type_10,Area_4,Type_3
5812,2293,144,22,30,9,1452,244,230,104,765,89.17,325.26,739.67,16.38,Type_3,Area_4,Type_3
7206,2600,135,17,218,70,912,244,230,109,1368,41.01,319.52,567.14,9.3,Type_4,Area_3,Type_3
11133,2522,164,10,150,-5,1087,230,243,145,1463,49.44,440.68,577.06,54.87,Type_4,Area_3,Type_3
11232,2514,47,34,300,107,1291,209,146,46,664,66.58,319.27,601.84,31.91,Type_10,Area_3,Type_3
11327,2492,144,27,285,113,313,246,223,87,1036,56.56,341.43,797.85,30.97,Type_4,Area_3,Type_3
14925,2531,226,27,162,88,1295,172,253,206,1262,60.69,250.69,808.21,32.13,Type_3,Area_3,Type_3
4743,2308,304,28,90,16,1233,132,213,215,1006,32.14,212.72,884.1,61.14,Type_10,Area_4,Type_3
11093,2606,243,10,400,88,2279,201,248,184,390,32.4,246.97,607.61,60.11,Type_2,Area_3,Type_3
3325,2270,2,17,402,183,570,194,206,146,426,76.92,365.31,721.84,49.39,Type_10,Area_4,Type_3
8015,2697,95,15,228,58,2359,243,216,98,2477,70.62,441.3,716.56,6.45,Type_11,Area_3,Type_3
5003,2344,332,29,85,36,201,141,189,181,95,81.27,438.92,985.0,29.35,Type_10,Area_4,Type_3
10826,2534,189,19,30,0,1224,217,251,159,1426,60.37,416.63,504.15,54.44,Type_3,Area_3,Type_3
7137,2719,158,24,306,135,1689,237,236,114,1158,82.01,385.47,417.71,18.53,Type_4,Area_3,Type_3
13391,2366,125,20,127,61,812,249,221,91,751,33.83,298.66,959.17,64.64,Type_3,Area_4,Type_3
5148,2310,11,29,319,121,900,177,169,117,1396,83.95,256.22,643.91,32.72,Type_10,Area_4,Type_3
12202,2029,8,31,95,64,127,168,162,118,108,77.55,192.64,624.46,61.24,Type_10,Area_4,Type_3
13733,2605,127,17,190,42,1489,246,226,102,1006,87.39,253.1,325.56,61.58,Type_4,Area_3,Type_3
11965,2102,100,32,510,141,604,252,178,0,283,62.89,166.92,289.8,39.64,Type_5,Area_4,Type_3
7223,2551,32,4,0,0,1421,219,230,147,1114,37.89,287.97,1051.26,29.82,Type_17,Area_3,Type_3
2805,2289,349,9,134,27,690,204,225,160,618,61.29,260.31,1026.52,5.33,Type_2,Area_4,Type_3
11969,2630,100,35,180,61,1065,252,171,17,649,45.46,227.31,848.96,13.96,Type_13,Area_3,Type_3
3008,2314,324,21,277,118,700,163,213,187,499,30.73,448.48,814.9,17.63,Type_6,Area_4,Type_3
2069,2016,116,28,120,56,162,254,200,53,361,39.88,150.26,517.53,14.68,Type_1,Area_4,Type_3
4288,2265,341,46,180,121,1183,85,128,154,1433,64.62,237.54,794.11,61.34,Type_10,Area_4,Type_3
3309,2317,192,10,150,60,1003,219,248,162,824,52.17,262.48,362.78,60.58,Type_6,Area_4,Type_3
12179,2043,311,20,30,7,633,161,221,198,630,59.09,406.28,363.14,45.47,Type_17,Area_4,Type_3
12289,2005,284,29,30,20,150,130,227,230,551,34.88,159.35,302.97,39.02,Type_4,Area_4,Type_3
2697,2001,103,46,90,66,120,244,138,0,361,70.65,291.48,661.2,18.44,Type_1,Area_4,Type_3
13107,2396,86,15,30,10,902,241,214,99,973,53.23,326.56,683.37,5.08,Type_6,Area_4,Type_3
6587,2367,283,16,120,26,42,174,239,204,663,58.24,420.38,1122.94,25.35,Type_10,Area_4,Type_3
15091,2417,194,21,42,12,1154,211,252,165,1057,43.56,397.49,268.64,33.49,Type_4,Area_3,Type_3
6954,2579,15,15,134,20,390,206,209,138,1061,30.43,151.04,484.72,51.15,Type_10,Area_3,Type_3
2450,2102,353,30,212,78,277,155,174,146,467,50.55,384.27,1010.23,51.83,Type_10,Area_4,Type_3
12349,2345,307,17,134,55,849,171,227,196,579,33.85,352.91,715.8,51.86,Type_6,Area_4,Type_3
2763,2258,322,22,127,20,379,159,212,191,492,67.86,294.44,1124.18,52.65,Type_10,Area_4,Type_3
11283,2598,57,18,601,-1,875,229,199,96,1065,87.95,299.48,425.14,33.92,Type_11,Area_3,Type_3
10644,2607,202,26,242,100,1899,198,252,174,1613,86.71,283.15,257.94,55.75,Type_2,Area_3,Type_3
5019,2287,303,28,495,80,361,133,214,216,1724,63.58,382.29,255.84,12.87,Type_10,Area_4,Type_3
4479,2343,332,30,300,199,1082,137,187,181,1320,65.63,367.87,514.07,12.53,Type_10,Area_4,Type_3
5206,2299,10,22,201,62,1326,190,189,130,1008,52.63,235.73,1176.01,58.48,Type_10,Area_4,Type_3
15024,2615,274,9,391,140,2270,195,243,187,417,76.39,275.66,483.18,62.79,Type_2,Area_3,Type_3
14941,2471,186,16,175,67,972,221,250,157,1332,59.12,318.31,558.49,46.54,Type_3,Area_3,Type_3
4617,2261,52,21,228,81,1510,226,191,89,120,78.53,308.55,830.26,38.0,Type_10,Area_4,Type_3
11294,2691,97,11,404,28,859,238,224,116,1208,73.84,160.08,379.28,62.61,Type_11,Area_3,Type_3
13588,2681,133,9,309,73,499,235,236,131,153,40.18,400.14,979.15,16.0,Type_4,Area_3,Type_3
4478,2276,52,22,108,63,1350,225,188,86,624,51.47,279.3,860.35,50.87,Type_2,Area_4,Type_3
7150,2583,167,24,108,20,1416,231,241,127,983,67.07,187.35,330.75,11.32,Type_4,Area_3,Type_3
6864,2797,175,11,60,9,1181,226,246,151,1136,34.66,331.15,1115.14,44.67,Type_2,Area_3,Type_3
3881,2127,334,24,30,9,1131,158,200,177,470,60.15,265.97,255.07,34.36,Type_4,Area_4,Type_3
2706,2108,240,17,120,44,474,186,252,201,752,78.43,364.28,904.03,26.68,Type_6,Area_4,Type_3
12357,2144,29,19,408,86,433,210,196,116,792,78.67,274.28,1182.83,44.67,Type_10,Area_4,Type_3
5946,2304,112,24,234,65,297,252,208,70,834,50.49,324.06,821.99,31.91,Type_3,Area_4,Type_3
10794,2457,239,17,85,16,553,186,252,201,677,37.84,338.01,1127.89,34.23,Type_3,Area_3,Type_3
6930,2698,152,8,256,29,914,230,240,142,451,68.29,172.81,202.49,27.12,Type_2,Area_3,Type_3
2455,1983,324,15,162,-1,150,180,223,182,450,64.83,287.74,829.69,62.36,Type_1,Area_4,Type_3
8032,2646,108,13,85,20,2240,242,224,109,2454,68.53,284.96,1171.27,29.07,Type_2,Area_3,Type_3
13797,2549,23,23,120,29,1260,201,185,112,1570,87.89,231.55,377.26,36.91,Type_10,Area_3,Type_3
3598,2264,310,15,300,152,845,178,229,190,228,63.16,154.93,195.37,21.26,Type_10,Area_4,Type_3
6946,2595,1,14,390,108,782,199,213,150,1026,75.8,232.47,440.84,36.5,Type_10,Area_4,Type_3
12195,2028,57,30,108,71,150,225,162,50,42,48.67,157.06,294.56,20.71,Type_1,Area_4,Type_3
5618,2443,84,16,42,8,524,241,212,97,1718,44.59,161.02,507.3,46.69,Type_6,Area_4,Type_3
12977,2285,326,21,124,34,760,164,212,185,443,33.75,232.25,189.21,53.33,Type_10,Area_4,Type_3
5882,2430,81,10,350,40,832,234,222,118,824,67.61,294.34,258.98,11.3,Type_2,Area_4,Type_3
7163,2620,197,13,313,92,828,216,251,167,1318,67.75,416.49,327.26,42.13,Type_2,Area_3,Type_3
13489,2413,241,26,212,54,309,161,250,219,624,44.24,322.16,920.85,54.96,Type_10,Area_4,Type_3
10807,2508,94,26,30,0,1666,250,192,54,1068,47.48,261.94,117.0,10.51,Type_3,Area_3,Type_3
13568,2364,0,4,0,0,541,213,232,156,1358,57.35,387.14,195.63,19.6,Type_16,Area_4,Type_3
11274,2675,62,10,323,32,1015,229,218,121,1026,36.83,371.94,778.3,17.68,Type_11,Area_3,Type_3
8202,2742,54,12,90,12,2347,227,213,117,2308,54.44,273.04,351.55,8.09,Type_32,Area_3,Type_3
2635,2100,143,27,85,36,661,246,223,86,916,72.78,185.33,297.72,19.77,Type_2,Area_4,Type_3
5647,2494,45,10,162,21,540,223,218,129,1429,31.6,429.41,621.56,24.01,Type_6,Area_4,Type_3
14860,2541,200,8,90,8,2156,217,247,165,2037,80.54,338.66,990.11,59.53,Type_2,Area_3,Type_3
11208,2438,190,20,323,97,693,216,251,160,1084,43.7,331.05,1017.84,48.73,Type_2,Area_3,Type_3
12695,2345,359,20,488,236,1091,186,200,148,1328,73.33,274.94,298.57,54.04,Type_10,Area_4,Type_3
13256,2274,126,10,0,0,1590,237,233,126,646,45.94,242.63,128.02,60.79,Type_3,Area_4,Type_3
15107,2656,66,11,524,35,883,231,217,117,1084,34.2,404.98,1119.0,17.73,Type_11,Area_3,Type_3
12788,2348,49,10,124,39,1283,224,218,127,258,89.04,242.9,204.42,27.82,Type_6,Area_4,Type_3
15047,2633,117,3,277,29,1833,225,236,146,755,38.6,408.16,991.11,32.62,Type_2,Area_3,Type_3
5375,2239,321,23,67,19,636,156,211,192,1740,59.05,366.82,1118.63,61.39,Type_10,Area_4,Type_3
2896,2250,313,17,242,159,524,172,225,192,300,82.55,412.84,1130.2,62.39,Type_6,Area_4,Type_3
5361,2374,87,26,127,49,268,247,188,54,671,66.19,403.57,191.04,47.54,Type_4,Area_4,Type_3
5467,2441,302,19,255,115,300,163,227,203,408,76.66,253.56,409.29,34.23,Type_10,Area_4,Type_3
10863,2443,228,19,95,39,924,188,254,198,1290,36.49,207.58,435.8,12.0,Type_3,Area_3,Type_3
4082,2171,21,35,30,15,1248,175,146,86,997,44.0,251.09,91.39,8.37,Type_10,Area_4,Type_3
4580,2331,351,17,228,84,553,188,209,157,649,68.74,330.17,385.68,48.55,Type_10,Area_4,Type_3
12704,2274,6,34,124,77,1200,160,155,116,644,73.3,405.95,1161.55,48.82,Type_10,Area_4,Type_3
4430,2354,310,25,342,164,1357,143,213,206,466,77.85,376.55,1103.54,56.77,Type_10,Area_4,Type_3
3065,2187,230,29,499,144,541,161,251,213,942,68.91,235.83,682.75,9.9,Type_1,Area_4,Type_3
10748,2631,90,31,60,22,1423,249,175,31,1396,82.06,390.86,633.82,52.21,Type_3,Area_3,Type_3
4777,2187,303,27,42,19,624,135,215,215,1443,30.04,231.16,333.26,17.12,Type_10,Area_4,Type_3
11119,2519,147,29,300,61,2121,244,223,86,182,75.23,172.52,355.53,31.78,Type_4,Area_3,Type_3
2698,1940,106,34,30,6,60,253,178,0,408,48.71,338.2,1011.33,46.79,Type_1,Area_4,Type_3
3307,2148,240,34,60,45,591,136,244,229,674,52.35,329.55,757.66,28.07,Type_10,Area_4,Type_3
2846,2190,298,35,30,16,830,103,203,229,680,51.43,389.03,680.77,33.76,Type_10,Area_4,Type_3
10909,2407,76,4,170,-3,636,225,232,143,942,80.53,261.51,776.08,51.7,Type_2,Area_3,Type_3
5485,2459,13,9,192,22,722,211,221,146,1233,71.58,267.88,453.46,37.3,Type_6,Area_4,Type_3
2721,2006,351,29,124,98,150,155,177,150,404,83.91,408.24,948.3,53.29,Type_10,Area_4,Type_3
8021,2559,149,1,470,16,1150,221,238,154,1348,59.87,228.2,346.6,26.4,Type_2,Area_3,Type_3
7961,2616,102,10,30,1,2165,237,227,120,2313,82.73,334.68,1165.24,14.68,Type_11,Area_3,Type_3
14118,2653,185,27,180,68,1776,214,247,149,2750,33.8,268.74,633.94,7.97,Type_4,Area_3,Type_3
11122,2628,90,3,437,24,1947,224,234,146,618,42.29,333.02,1148.45,9.32,Type_2,Area_3,Type_3
12922,2331,289,24,60,22,1248,147,230,219,994,42.81,363.64,655.68,26.44,Type_10,Area_4,Type_3
2379,2116,260,25,192,102,258,151,244,226,499,56.79,293.83,357.05,42.26,Type_10,Area_4,Type_3
11263,2583,320,15,335,-16,960,180,225,184,1047,66.74,312.18,362.69,20.53,Type_4,Area_3,Type_3
12011,2250,81,14,277,188,120,238,214,104,350,87.59,385.89,1074.71,6.65,Type_2,Area_4,Type_3
12561,2155,312,28,108,46,1237,135,207,206,1024,76.72,211.94,375.51,14.42,Type_10,Area_4,Type_3
14945,2641,108,13,108,36,1476,242,224,109,218,38.25,395.24,957.46,37.52,Type_4,Area_3,Type_3
4927,2453,348,29,570,241,1082,152,178,155,300,57.9,244.11,347.88,30.68,Type_10,Area_4,Type_3
7166,2504,74,14,190,18,324,236,213,106,1221,33.12,402.05,747.4,50.16,Type_10,Area_3,Type_3
13628,2520,36,14,420,154,876,218,207,122,1368,32.43,268.24,441.64,10.27,Type_10,Area_4,Type_3
2185,2028,258,16,0,0,424,181,248,204,607,69.19,398.83,796.48,17.88,Type_17,Area_4,Type_3
3266,2119,3,21,108,-1,524,186,194,141,607,34.14,378.61,544.61,11.54,Type_10,Area_4,Type_3
2502,2164,10,37,180,141,295,154,141,102,474,75.87,332.39,305.7,22.19,Type_10,Area_4,Type_3
3406,2177,1,23,95,38,1026,182,191,142,664,78.4,420.74,698.17,30.32,Type_10,Area_4,Type_3
2517,2176,310,33,150,128,313,115,198,213,484,31.15,154.89,1115.71,23.22,Type_10,Area_4,Type_3
1821,2011,344,17,313,29,404,183,211,164,300,42.34,368.78,307.59,54.14,Type_5,Area_4,Type_3
13880,2602,166,8,240,80,1566,227,243,149,1600,87.06,427.72,480.8,37.65,Type_4,Area_3,Type_3
5326,2438,66,17,306,48,1087,234,204,96,792,64.71,353.0,1131.22,61.61,Type_10,Area_4,Type_3
6846,2455,44,28,60,30,497,213,166,71,1040,41.62,439.89,355.09,7.39,Type_10,Area_4,Type_3
3241,2310,300,22,400,238,1355,155,225,209,876,54.95,153.65,821.31,33.4,Type_6,Area_4,Type_3
11034,2448,133,19,67,16,808,247,227,100,960,73.7,200.04,498.58,16.01,Type_4,Area_3,Type_3
5570,2352,121,33,180,80,1154,254,193,39,787,88.47,313.69,769.12,41.58,Type_3,Area_4,Type_3
11218,2418,137,15,268,77,871,242,233,116,1279,70.08,220.63,498.45,13.32,Type_2,Area_3,Type_3
14168,2617,122,15,85,13,2045,244,227,107,2656,82.22,257.5,918.35,5.24,Type_4,Area_3,Type_3
13930,2570,119,18,283,134,300,248,222,95,190,65.49,161.87,643.43,63.92,Type_4,Area_3,Type_3
2267,2078,311,33,95,73,150,115,197,213,644,65.5,336.74,188.42,15.01,Type_10,Area_4,Type_3
5271,2428,104,16,134,42,931,245,218,97,979,41.56,252.78,142.12,24.06,Type_5,Area_4,Type_3
12868,2183,299,31,42,25,685,121,212,223,1530,40.72,397.72,117.76,38.77,Type_10,Area_4,Type_3
2518,2120,9,34,268,155,335,162,154,112,210,58.61,202.22,782.97,52.22,Type_10,Area_4,Type_3
6519,2555,78,16,342,78,700,239,208,94,904,88.85,414.15,353.85,30.45,Type_6,Area_4,Type_3
7718,2560,180,21,90,15,1652,223,248,148,1590,85.34,207.18,190.44,17.86,Type_4,Area_3,Type_3
5739,2376,121,19,212,85,1289,249,221,92,990,32.34,414.66,1137.04,35.23,Type_3,Area_4,Type_3
13825,2519,194,18,60,22,1136,214,252,165,1398,65.94,294.04,1044.57,26.84,Type_4,Area_3,Type_3
5409,2250,328,27,95,29,626,145,198,187,1765,49.26,431.02,162.78,24.64,Type_10,Area_4,Type_3
8385,2528,139,13,30,6,1057,239,236,124,1826,45.48,170.15,123.67,19.14,Type_4,Area_3,Type_3
10798,2468,67,9,120,25,767,229,222,125,908,50.92,311.56,935.31,37.57,Type_11,Area_3,Type_3
14988,2486,142,23,60,5,1300,246,228,98,560,76.14,269.18,273.31,24.01,Type_4,Area_3,Type_3
10872,2737,93,10,255,91,2658,237,224,118,1110,67.33,256.64,378.9,48.84,Type_2,Area_3,Type_3
3077,2114,34,34,268,105,443,194,147,66,446,86.8,380.62,437.24,59.65,Type_6,Area_4,Type_3
10990,2571,57,21,192,61,1885,229,191,86,680,70.7,363.5,798.37,50.3,Type_4,Area_3,Type_3
10779,2587,79,23,30,7,1527,243,192,67,1249,77.65,161.68,681.29,64.42,Type_3,Area_3,Type_3
3358,2281,14,28,408,124,824,181,169,112,1019,52.97,228.57,247.4,11.32,Type_10,Area_4,Type_3
15084,2588,350,24,30,14,1434,169,192,156,659,37.15,336.47,601.75,7.17,Type_10,Area_3,Type_3
5504,2390,146,23,95,36,120,244,230,102,638,59.52,358.1,710.66,16.05,Type_4,Area_4,Type_3
7685,2509,86,19,150,34,1101,244,204,81,994,35.62,424.41,1128.75,9.55,Type_4,Area_3,Type_3
11177,2458,73,26,60,17,1777,239,180,55,366,66.01,322.34,514.8,17.73,Type_10,Area_3,Type_3
4814,2336,325,27,85,36,212,143,200,190,256,60.71,371.28,247.8,17.49,Type_10,Area_4,Type_3
3524,2146,273,27,108,43,780,139,236,230,258,36.06,264.43,867.71,6.57,Type_10,Area_4,Type_3
4657,2189,330,17,85,13,1176,178,218,178,1134,80.19,266.86,643.72,24.39,Type_10,Area_4,Type_3
5597,2469,91,15,85,28,612,242,215,99,1290,51.32,182.81,1103.51,30.09,Type_5,Area_4,Type_3
5313,2448,287,9,162,43,875,196,240,183,1103,85.61,290.57,696.15,24.54,Type_6,Area_4,Type_3
5698,2376,303,30,180,96,418,123,209,219,1758,54.33,240.53,396.84,26.1,Type_10,Area_4,Type_3
12184,2068,122,38,382,169,384,252,182,20,930,54.8,289.75,455.96,62.63,Type_3,Area_4,Type_3
3198,2320,337,11,339,36,1262,196,225,168,912,82.58,449.68,1192.04,25.77,Type_2,Area_4,Type_3
11209,2530,28,22,124,37,1544,206,188,110,446,31.49,215.82,738.12,36.63,Type_10,Area_3,Type_3
2127,2045,313,23,124,40,170,152,216,201,732,68.08,152.93,638.21,49.03,Type_10,Area_4,Type_3
13016,2313,68,27,277,106,313,235,176,55,1514,68.32,204.7,1038.47,22.13,Type_10,Area_4,Type_3
4793,2367,302,27,150,25,1236,134,216,216,990,33.61,362.93,713.1,35.75,Type_10,Area_4,Type_3
12307,2099,3,33,268,48,339,159,160,124,424,60.31,348.34,803.35,39.31,Type_10,Area_4,Type_3
3175,2175,337,20,242,111,560,172,208,173,459,34.23,400.37,200.25,64.07,Type_10,Area_4,Type_3
11254,2554,337,25,319,153,1050,158,198,174,967,84.1,206.12,877.73,43.74,Type_10,Area_3,Type_3
12622,2320,350,17,404,137,1326,187,209,159,1060,81.58,320.89,566.69,17.61,Type_6,Area_4,Type_3
12673,2244,2,25,30,13,1165,177,185,138,543,64.97,209.43,1012.4,40.73,Type_10,Area_4,Type_3
14155,2633,164,27,60,26,1905,233,235,114,2755,75.4,187.42,411.01,35.24,Type_4,Area_3,Type_3
10854,2775,160,16,390,183,2953,235,242,133,1383,77.62,239.73,570.39,36.3,Type_4,Area_3,Type_3
2967,2032,35,33,85,12,242,198,151,67,663,73.62,266.33,994.16,48.79,Type_1,Area_4,Type_3
14993,2468,96,17,30,3,859,245,214,92,849,44.25,353.73,518.34,19.23,Type_4,Area_3,Type_3
8406,2767,129,13,450,133,2675,241,232,119,2059,42.56,292.81,932.64,5.5,Type_10,Area_3,Type_3
3119,2246,16,33,339,163,421,174,155,100,594,44.9,194.32,749.35,42.79,Type_10,Area_4,Type_3
14980,2650,159,25,272,126,2190,237,235,113,875,74.47,347.33,386.01,25.16,Type_4,Area_3,Type_3
4021,2128,55,18,127,73,277,229,199,97,547,54.68,441.24,362.59,29.45,Type_10,Area_4,Type_3
2707,2070,97,31,242,60,323,251,179,32,700,37.21,215.33,960.03,59.75,Type_3,Area_4,Type_3
11245,2612,40,17,417,92,1194,219,200,111,751,41.23,249.18,301.6,40.26,Type_11,Area_3,Type_3
4985,2341,116,37,228,125,1683,253,179,18,242,63.04,337.91,535.52,52.52,Type_3,Area_4,Type_3
8362,2722,223,18,331,115,2089,195,254,191,2546,37.96,325.76,303.45,53.39,Type_4,Area_3,Type_3
2791,1987,305,40,95,94,124,83,184,224,228,72.7,200.58,240.75,33.43,Type_10,Area_4,Type_3
8254,2753,167,16,285,23,2313,232,244,138,2322,67.36,363.21,1120.54,26.96,Type_4,Area_3,Type_3
8564,2755,100,25,309,122,2375,252,197,59,2232,82.91,249.46,1095.84,31.72,Type_10,Area_3,Type_3
12471,2319,353,20,331,162,767,181,200,154,800,72.33,448.38,834.62,57.1,Type_10,Area_4,Type_3
6754,2391,12,17,67,24,513,201,204,137,1020,35.19,179.31,273.9,12.81,Type_10,Area_4,Type_3
7565,2479,125,13,30,-6,1087,242,230,114,940,60.02,278.2,554.99,30.16,Type_4,Area_3,Type_3
5928,2356,136,20,210,69,1121,247,227,100,1050,70.41,375.98,133.0,34.9,Type_3,Area_4,Type_3
15008,2370,107,17,175,48,201,247,217,92,713,63.92,242.81,192.26,7.48,Type_4,Area_3,Type_3
11202,2446,200,19,360,105,726,209,253,171,1087,53.38,285.75,199.6,22.18,Type_2,Area_3,Type_3
2052,2041,327,33,60,43,108,122,182,189,474,59.08,221.52,664.88,36.0,Type_10,Area_4,Type_3
11317,2573,146,28,301,-26,421,245,223,87,1112,66.13,394.51,783.95,38.93,Type_4,Area_3,Type_3
15108,2600,293,14,330,0,812,179,236,197,1170,55.15,362.34,747.4,20.88,Type_4,Area_3,Type_3
10936,2678,121,10,361,91,2279,237,232,125,875,41.52,215.86,1197.0,63.2,Type_2,Area_3,Type_3
11141,2521,122,16,90,-6,1167,246,225,102,1507,76.02,380.49,277.3,31.94,Type_4,Area_3,Type_3
10868,2401,115,18,268,73,376,248,220,94,780,75.21,223.55,385.17,33.87,Type_3,Area_3,Type_3
3725,2157,43,37,67,32,1206,199,133,39,1024,52.35,344.08,1152.91,16.16,Type_10,Area_4,Type_3
2722,1993,15,42,85,72,108,148,120,78,366,76.99,152.87,892.36,34.19,Type_10,Area_4,Type_3
11125,2624,106,7,150,20,1725,232,232,132,908,31.09,183.51,141.13,55.11,Type_2,Area_3,Type_3
2828,2293,27,14,268,55,616,213,210,130,484,35.72,322.17,768.63,21.83,Type_6,Area_4,Type_3
8271,2583,152,13,218,44,1240,235,240,133,1758,50.55,380.9,818.25,8.83,Type_4,Area_3,Type_3
13589,2474,272,16,242,60,180,177,243,205,700,30.57,383.15,358.33,38.16,Type_10,Area_4,Type_3
11258,2587,93,24,534,189,1057,249,195,61,883,52.61,402.07,460.26,12.06,Type_4,Area_3,Type_3
10967,2402,265,19,120,51,450,168,245,214,792,38.97,166.38,833.81,53.99,Type_3,Area_3,Type_3
4867,2368,349,24,180,70,319,168,192,157,365,51.36,277.75,1196.06,9.22,Type_10,Area_4,Type_3
4039,2331,339,25,384,206,1060,158,195,171,1283,69.57,188.72,809.01,5.19,Type_10,Area_4,Type_3
3232,2371,274,24,350,46,210,150,238,224,778,66.47,416.69,1029.06,14.75,Type_10,Area_4,Type_3
13316,2507,116,8,124,14,470,235,232,129,1506,36.2,439.62,1020.09,49.71,Type_6,Area_4,Type_3
1859,2102,33,12,382,94,480,218,214,131,342,80.52,179.85,629.14,35.34,Type_5,Area_4,Type_3
13523,2467,240,10,162,50,182,201,249,186,331,37.75,401.66,353.28,30.77,Type_6,Area_4,Type_3
10861,2526,194,22,391,152,702,211,252,164,912,86.97,280.79,1054.27,60.16,Type_3,Area_3,Type_3
13372,2369,117,16,190,70,841,246,224,102,789,44.83,235.41,268.53,40.08,Type_3,Area_4,Type_3
5301,2364,280,24,430,123,175,147,234,223,1678,77.01,271.8,377.67,50.82,Type_10,Area_4,Type_3
4159,2215,12,25,30,14,1243,187,182,123,601,87.46,163.53,129.16,26.87,Type_10,Area_4,Type_3
4823,2417,36,19,371,229,914,215,194,107,1127,52.62,443.43,951.3,58.13,Type_1,Area_4,Type_3
13499,2552,36,18,218,75,875,216,198,112,1050,52.25,275.19,212.1,13.44,Type_6,Area_4,Type_3
3174,2141,293,28,124,77,541,131,221,224,342,39.63,288.32,144.93,21.24,Type_10,Area_4,Type_3
12912,2186,144,31,67,35,1451,246,217,75,242,88.06,382.2,202.02,47.49,Type_3,Area_4,Type_3
12069,2194,126,8,30,-1,134,235,234,131,295,81.81,285.4,286.55,48.52,Type_2,Area_4,Type_3
10804,2535,213,29,30,5,1591,182,252,191,1168,86.54,179.26,583.78,64.1,Type_3,Area_3,Type_3
10921,2542,215,35,30,26,1816,165,247,195,404,73.01,241.88,887.17,56.44,Type_4,Area_3,Type_3
11115,2537,174,19,268,79,2170,228,246,142,258,64.17,437.13,447.5,56.24,Type_4,Area_3,Type_3
1877,2047,31,21,216,54,272,210,190,109,277,65.42,310.82,345.65,56.85,Type_5,Area_4,Type_3
10663,2534,250,13,0,0,2287,190,249,196,2190,82.92,156.58,109.15,26.12,Type_17,Area_3,Type_3
